,Resolution,Seps,Lam_ss,Lam_us,NULL,Animate,Times,Nwvg_ups,Nwvg_los,a,widths,Name
"[40,0.2,0.6,0.85,True,10,15,15,0.33,1.4]",40,0.2,0.6,0.85,True,True,10,15,15,0.33,1.4,"[40,0.2,0.6,0.85,True,10,15,15,0.33,1.4]"
"[40,0.2,0.6,0.85,True,500,15,15,0.33,1.4]",40,0.2,0.6,0.85,True,True,500,15,15,0.33,1.4,"[40,0.2,0.6,0.85,True,500,15,15,0.33,1.4]"
