,eigVal_lossDiff_applied,eigVec_lossDiff_applied,eigVal_lossless,eigVec_lossless,coupling_coeff.,loss_diff,Ecm,XC,Ecm-XC
12,[1.37258712+0.01242078j 1.37117636+0.00030028j],"[[ 0.99158497+0.j         -0.01447183+0.12864611j]
 [ 0.01447183-0.12864611j  0.99158497+0.j        ]]",[1.37363885+2.75711597e-05j 1.37012463+6.25288403e-05j],"[[ 0.8330629 +0.j         -0.55299656-0.01417809j]
 [ 0.55299656+0.01417809j  0.8330629 +0.j        ]]",0.00162,-0.012630951670234114,1.3725634751555151,(1.3712+9.01e-05j),(0.0013634751555151592-9.01e-05j)
13,[1.37258679+0.01237632j 1.37117619+0.00030102j],"[[ 0.99152544+0.j         -0.01457116+0.12909291j]
 [ 0.01457116-0.12909291j  0.99152544+0.j        ]]",[1.37363851+2.75765429e-05j 1.37012447+6.25234571e-05j],"[[ 0.83302703+0.j         -0.55305052-0.01418025j]
 [ 0.55305052+0.01418025j  0.83302703+0.j        ]]",0.00162,-0.012587239626086957,1.3725629807987452,(1.3712+9.01e-05j),(0.0013629807987451947-9.01e-05j)
14,[1.37258641+0.01233186j 1.37117603+0.00030177j],"[[ 0.99146527+0.j         -0.01467107+0.12954293j]
 [ 0.01467107-0.12954293j  0.99146527+0.j        ]]",[1.37363813+2.7582439e-05j 1.37012431+6.2517561e-05j],"[[ 0.83298776+0.j         -0.55310962-0.01418261j]
 [ 0.55310962+0.01418261j  0.83298776+0.j        ]]",0.00162,-0.012543527581939799,1.3725624394424922,(1.3712+9.01e-05j),(0.0013624394424922581-9.01e-05j)
15,[1.37258599+0.0122874j  1.37117586+0.00030252j],"[[ 0.99140445+0.j         -0.01477157+0.12999619j]
 [ 0.01477157-0.12999619j  0.99140445+0.j        ]]",[1.37363772+2.75888463e-05j 1.37012413+6.25111537e-05j],"[[ 0.83294507+0.j         -0.55317384-0.01418518j]
 [ 0.55317384+0.01418518j  0.83294507+0.j        ]]",0.00162,-0.012499815537792643,1.3725618512500852,(1.3712+9.01e-05j),(0.0013618512500852553-9.01e-05j)
16,[1.37258552+0.01224292j 1.3711757 +0.00030328j],"[[ 0.99134297+0.j         -0.01487267+0.13045274j]
 [ 0.01487267-0.13045274j  0.99134297+0.j        ]]",[1.37363728+2.75957635e-05j 1.37012393+6.25042365e-05j],"[[ 0.83289898+0.j         -0.55324315-0.01418795j]
 [ 0.55324315+0.01418795j  0.83289898+0.j        ]]",0.00162,-0.012456103493645485,1.3725612163848622,(1.3712+9.01e-05j),(0.001361216384862196-9.01e-05j)
17,[1.37258501+0.01219845j 1.37117553+0.00030404j],"[[ 0.99128082+0.j        -0.01497437+0.1309126j]
 [ 0.01497437-0.1309126j  0.99128082+0.j       ]]",[1.37363681+2.7603189e-05j 1.37012373+6.2496811e-05j],"[[ 0.83284951+0.j         -0.55331755-0.01419093j]
 [ 0.55331755+0.01419093j  0.83284951+0.j        ]]",0.00162,-0.012412391449498327,1.3725605350101693,(1.3712+9.01e-05j),(0.001360535010169306-9.01e-05j)
18,[1.37258445+0.01215396j 1.37117536+0.00030481j],"[[ 0.99121798+0.j         -0.01507668+0.13137583j]
 [ 0.01507668-0.13137583j  0.99121798+0.j        ]]",[1.3736363+2.76111215e-05j 1.3701235+6.24888785e-05j],"[[ 0.83279665+0.j        -0.55339702-0.0141941j]
 [ 0.55339702+0.0141941j  0.83279665+0.j       ]]",0.00162,-0.012368679405351172,1.3725598072893626,(1.3712+9.01e-05j),(0.00135980728936258-9.01e-05j)
19,[1.37258384+0.01210948j 1.37117519+0.00030559j],"[[ 0.99115445+0.j         -0.0151796 +0.13184245j]
 [ 0.0151796 -0.13184245j  0.99115445+0.j        ]]",[1.37363577+2.76195595e-05j 1.37012327+6.24804405e-05j],"[[ 0.83274042+0.j         -0.55348155-0.01419748j]
 [ 0.55348155+0.01419748j  0.83274042+0.j        ]]",0.00162,-0.012324967361204014,1.3725590333858058,(1.3712+9.01e-05j),(0.0013590333858057857-9.01e-05j)
20,[1.37258319+0.01206498j 1.37117502+0.00030637j],"[[ 0.99109022+0.j        -0.01528315+0.1323125j]
 [ 0.01528315-0.1323125j  0.99109022+0.j       ]]",[1.3736352 +2.76285016e-05j 1.37012301+6.24714984e-05j],"[[ 0.83268083+0.j         -0.5535711 -0.01420106j]
 [ 0.5535711 +0.01420106j  0.83268083+0.j        ]]",0.00162,-0.012281255317056856,1.3725582134628718,(1.3712+9.01e-05j),(0.0013582134628717935-9.01e-05j)
21,[1.3725825 +0.01202048j 1.37117485+0.00030716j],"[[ 0.99102528+0.j         -0.01538734+0.13278602j]
 [ 0.01538734-0.13278602j  0.99102528+0.j        ]]",[1.3736346 +2.76379464e-05j 1.37012275+6.24620536e-05j],"[[ 0.83261788+0.j         -0.55366568-0.01420484j]
 [ 0.55366568+0.01420484j  0.83261788+0.j        ]]",0.00162,-0.012237543272909698,1.3725573476839419,(1.3712+9.01e-05j),(0.0013573476839419119-9.01e-05j)
