,Resolution,Seps,Lam_ss,Lam_us,NULL,Animate,Times,Nwvg_ups,Nwvg_los,a,widths,Name
"[50,0.1,0.6,0.85,True,25,1,15,0.33,1.4]",50,0.1,0.6,0.85,True,True,25,1,15,0.33,1.4,"[50,0.1,0.6,0.85,True,25,1,15,0.33,1.4]"
"[50,0.1,0.6,0.85,True,500,1,15,0.33,1.4]",50,0.1,0.6,0.85,True,True,500,1,15,0.33,1.4,"[50,0.1,0.6,0.85,True,500,1,15,0.33,1.4]"
"[50,0.2,0.6,0.85,True,25,1,15,0.33,1.4]",50,0.2,0.6,0.85,True,True,25,1,15,0.33,1.4,"[50,0.2,0.6,0.85,True,25,1,15,0.33,1.4]"
"[50,0.2,0.6,0.85,True,500,1,15,0.33,1.4]",50,0.2,0.6,0.85,True,True,500,1,15,0.33,1.4,"[50,0.2,0.6,0.85,True,500,1,15,0.33,1.4]"
"[50,0.3,0.6,0.85,True,25,1,15,0.33,1.4]",50,0.3,0.6,0.85,True,True,25,1,15,0.33,1.4,"[50,0.3,0.6,0.85,True,25,1,15,0.33,1.4]"
"[50,0.3,0.6,0.85,True,500,1,15,0.33,1.4]",50,0.3,0.6,0.85,True,True,500,1,15,0.33,1.4,"[50,0.3,0.6,0.85,True,500,1,15,0.33,1.4]"
"[50,0.4,0.6,0.85,True,25,1,15,0.33,1.4]",50,0.4,0.6,0.85,True,True,25,1,15,0.33,1.4,"[50,0.4,0.6,0.85,True,25,1,15,0.33,1.4]"
"[50,0.4,0.6,0.85,True,500,1,15,0.33,1.4]",50,0.4,0.6,0.85,True,True,500,1,15,0.33,1.4,"[50,0.4,0.6,0.85,True,500,1,15,0.33,1.4]"
