,freq,decay,Q,abs_amp,comp_amp,error,names,a,comp_amp_real,comp_amp_imag,error_real,error_imag
3,1.3603247940970753,-0.0002506792752136,2713.2773400144074,3.3007947617496267,-1.7858681740396556-2.7759540565625436i,1.0027048648508942e-05+0.0i,"[40,0.2,0.6,0.85,True,25,15,15,0.33,1.4]",0.33,-1.7858681740396556,-2.7759540565625436,1.0027048648508942e-05,0.0
6,1.3584844028237613,-0.0001195751742401,5680.461732363487,2.740565808774948,-1.768398213534671-2.093673496654545i,5.9236157082182514e-08+0.0i,"[40,0.2,0.6,0.85,True,500,15,15,0.33,1.4]",0.33,-1.768398213534671,-2.093673496654545,5.9236157082182514e-08,0.0
7,1.3826827508156874,-0.0001006060141662,6871.769855284382,6.593838812717463,-4.030502726163939+5.218597327106614i,2.9494126573863283e-08+0.0i,"[40,0.2,0.6,0.85,True,500,15,15,0.33,1.4]",0.33,-4.030502726163939,5.218597327106614,2.9494126573863283e-08,0.0
9,1.358484597940204,-0.0001187534762216,5719.76771191484,2.746744748156699,-1.7713074179497206-2.099303870963587i,6.911849082572279e-09+0.0i,"[40,0.2,0.6,0.85,True,500,15,15,0.33,1.4]",0.33,-1.7713074179497206,-2.099303870963587,6.911849082572279e-09,0.0
10,1.382682804443822,-9.980259657144756e-05,6927.088332085503,6.558531314787902,4.010657297940927-5.189312193877596i,1.8893631501289194e-09+0.0i,"[40,0.2,0.6,0.85,True,500,15,15,0.33,1.4]",0.33,4.010657297940927,-5.189312193877596,1.8893631501289194e-09,0.0
