freq,freqError,decay,decayError,freq,decay,Q,abs amp,error,d,d+w
1.370992084,8.9421E-06,-0.000589889,5.26865E-06,1.370998407,-0.000593614,1154.788751,3.044957675,2.32E-08,0.617142857,1.079142857
,,,,1.370985761,-0.000586163,1169.458749,6.846564815,2.55E-08,0.617142857,1.079142857
1.371443524,0.00011983,-0.002972965,0.00020425,1.371528256,-0.003117391,219.980113,5.091058396,3.82E-07,0.631428571,1.093428571
,,,,1.371358791,-0.002828538,242.4147593,12.70893598,5.08E-08,0.631428571,1.093428571
1.371096536,2.76023E-07,-0.000501199,1.45742E-05,1.371096341,-0.000511504,1340.258542,2.313402776,2.30E-08,0.631428571,1.093428571
,,,,1.37109673,-0.000490893,1396.534195,5.592107415,2.19E-08,0.631428571,1.093428571
1.371484383,0.000178519,-0.003025574,0.000172448,1.371610615,-0.003147513,217.8879817,4.365476321,3.82E-07,0.645714286,1.107714286
,,,,1.371358151,-0.002903634,236.1451852,12.01535893,3.64E-08,0.645714286,1.107714286
1.371057937,2.062E-06,-0.000434138,1.31409E-05,1.371059395,-0.00044343,1545.969421,1.749860144,1.73E-08,0.645714286,1.107714286
,,,,1.371056479,-0.000424846,1613.590716,4.70134956,2.00E-08,0.645714286,1.107714286
1.371323019,8.59778E-05,-0.0030538,6.53374E-05,1.371262223,-0.0031,210,2.247833929,1.00E-08,0.674285714,1.136285714
,,,,1.371383814,-0.003007599,227.9864943,10.95923977,6.44E-08,0.674285714,1.136285714
1.371054026,3.21139E-06,-0.000350258,2.27688E-06,1.371051755,-0.000351868,1948.244812,3.609372819,5.20E-08,0.674285714,1.136285714
,,,,1.371056296,-0.000348648,1966.244877,1.085170598,3.65E-08,0.674285714,1.136285714
