,eigVal_lossDiff_applied,eigVec_lossDiff_applied,eigVal_lossless,eigVec_lossless,Coupling coeff.,Ecm,XC,Ecm-XC
14,[1.371-0.00264109j 1.371-0.00079491j],"[[ 8.85158520e-01+0.j          2.40918396e-14-0.46528958j]
 [-4.25420015e-14+0.46528958j  8.85158520e-01+0.j        ]]",[1.372341-9.e-05j 1.369659-9.e-05j],"[[ 0.70710678+0.00000000e+00j  0.70710678+0.00000000e+00j]
 [ 0.70710678-0.00000000e+00j -0.70710678-7.15573434e-18j]]",0.001341,(1.371-9e-05j),(1.371-9e-05j),0j
15,[1.371-0.00263891j 1.371-0.00079709j],"[[ 8.84779739e-01+0.j         -1.17086896e-13-0.46600946j]
 [ 0.00000000e+00+0.46600946j  8.84779739e-01+0.j        ]]",[1.3723425-9.e-05j 1.3696575-9.e-05j],"[[ 0.70710678+0.00000000e+00j  0.70710678+0.00000000e+00j]
 [ 0.70710678-0.00000000e+00j -0.70710678+7.13823751e-18j]]",0.0013425,(1.371-9e-05j),(1.371-9e-05j),0j
16,[1.371-0.00263672j 1.371-0.00079928j],"[[ 8.8439947e-01+0.j         -4.2119086e-15-0.46673073j]
 [ 0.0000000e+00+0.46673073j  8.8439947e-01+0.j        ]]",[1.372344-9.e-05j 1.369656-9.e-05j],"[[ 0.70710678+0.00000000e+00j  0.70710678+0.00000000e+00j]
 [ 0.70710678-0.00000000e+00j -0.70710678-7.12862928e-18j]]",0.001344,(1.371-9e-05j),(1.371-9e-05j),0j
17,[1.371-0.00263452j 1.371-0.00080148j],"[[8.84017702e-01+0.j         4.70179451e-14-0.46745342j]
 [0.00000000e+00+0.46745342j 8.84017702e-01+0.j        ]]",[1.3723455-9.e-05j 1.3696545-9.e-05j],"[[ 0.70710678-0.j  0.70710678+0.j]
 [ 0.70710678+0.j -0.70710678+0.j]]",0.0013455,(1.371-9e-05j),(1.371-9e-05j),0j
18,[1.371-0.00263232j 1.371-0.00080368j],"[[ 8.83634422e-01+0.j         -1.12021503e-13-0.46817754j]
 [ 6.81945559e-14+0.46817754j  8.83634422e-01+0.j        ]]",[1.372347-9.e-05j 1.369653-9.e-05j],"[[ 0.70710678-0.00000000e+00j  0.70710678+0.00000000e+00j]
 [ 0.70710678+0.00000000e+00j -0.70710678-1.42301535e-17j]]",0.0013469999999999999,(1.371-9e-05j),(1.371-9e-05j),0j
19,[1.371-0.0026301j 1.371-0.0008059j],"[[ 8.83249620e-01+0.j         -2.08860707e-14-0.46890309j]
 [ 0.00000000e+00+0.46890309j  8.83249620e-01+0.j        ]]",[1.3723485-9.e-05j 1.3696515-9.e-05j],"[[ 0.70710678-0.00000000e+00j  0.70710678+0.00000000e+00j]
 [ 0.70710678+0.00000000e+00j -0.70710678+7.10647672e-18j]]",0.0013485,(1.371-9e-05j),(1.371-9e-05j),0j
20,[1.371-0.00262788j 1.371-0.00080812j],"[[8.82863283e-01+0.j         4.44783099e-15-0.46963009j]
 [0.00000000e+00+0.46963009j 8.82863283e-01+0.j        ]]",[1.37235-9.e-05j 1.36965-9.e-05j],"[[ 0.70710678-0.00000000e+00j  0.70710678+0.00000000e+00j]
 [ 0.70710678+0.00000000e+00j -0.70710678-7.09858063e-18j]]",0.00135,(1.371-9e-05j),(1.371-9e-05j),0j
21,[1.371-0.00262565j 1.371-0.00081035j],"[[ 8.82475400e-01+0.j          1.21014310e-13-0.47035855j]
 [-9.45168196e-14+0.47035855j  8.82475400e-01+0.j        ]]",[1.3723515-9.e-05j 1.3696485-9.e-05j],"[[ 0.70710678-0.00000000e+00j -0.70710678-7.09070207e-18j]
 [ 0.70710678+0.00000000e+00j  0.70710678+0.00000000e+00j]]",0.0013515,(1.371-9e-05j),(1.371-9e-05j),0j
22,[1.371-0.00262341j 1.371-0.00081259j],"[[8.82085957e-01+0.j         1.32449607e-13-0.47108849j]
 [0.00000000e+00+0.47108849j 8.82085957e-01+0.j        ]]",[1.372353-9.e-05j 1.369647-9.e-05j],"[[ 0.70710678-0.00000000e+00j -0.70710678+7.08284099e-18j]
 [ 0.70710678+0.00000000e+00j  0.70710678+0.00000000e+00j]]",0.001353,(1.371-9e-05j),(1.371-9e-05j),0j
23,[1.371-0.00262117j 1.371-0.00081483j],"[[8.81694943e-01+0.j         7.49400542e-15-0.47181991j]
 [0.00000000e+00+0.47181991j 8.81694943e-01+0.j        ]]",[1.3723545-9.e-05j 1.3696455-9.e-05j],"[[ 0.70710678-0.j  0.70710678+0.j]
 [ 0.70710678+0.j -0.70710678-0.j]]",0.0013545,(1.371-9e-05j),(1.371-9e-05j),0j
