wvlength,freq,decay,Q,abs amp,error,d,d+w
0.729277021,1.371221047,-0.002747979,249.4962792,13.58542051, 5.3245977156424786e-08+0.0i,0.617142857,1.079142857
0.729237949,1.371294516,-0.002763517,248.106743,5.846269091, 2.9214520460613307e-07+0.0i,0.617142857,1.079142857
0.729343351,1.371096341,-0.000511504,1340.258542,2.313402776, 2.2984543492491574e-08+0.0i,0.631428571,1.093428571
0.729343144,1.37109673,-0.000490893,1396.534195,5.592107415, 2.190480432317259e-08+0.0i,0.631428571,1.093428571
0.72920377,1.371358791,-0.002828538,242.4147593,12.70893598, 5.082268766996733e-08+0.0i,0.631428571,1.093428571
0.72911367,1.371528256,-0.003117391,219.980113,5.091058396, 3.824950103628868e-07+0.0i,0.631428571,1.093428571
0.729364556,1.371056479,-0.000424846,1613.590716,4.70134956, 1.995939404928296e-08+0.0i,0.645714286,1.107714286
0.729363005,1.371059395,-0.00044343,1545.969421,1.749860144, 1.7290226913293788e-08+0.0i,0.645714286,1.107714286
0.72920411,1.371358151,-0.002903634,236.1451852,12.01535893, 3.640499117112315e-08+0.0i,0.645714286,1.107714286
0.72906989,1.371610615,-0.003147513,217.8879817,4.365476321, 3.820423591723784e-07+0.0i,0.645714286,1.107714286
0.729367069,1.371051755,-0.000351868,1948.244812,3.609372819, 5.197690542567338e-08+0.0i,0.674285714,1.136285714
0.729364654,1.371056296,-0.000348648,1966.244877,1.085170598, 3.651964460175984e-08+0.0i,0.674285714,1.136285714
0.729255122,1.371262223,2.72E-05,-25207.7531,2.247833929, 8.605685034144512e-09+0.0i,0.674285714,1.136285714
0.729190464,1.371383814,-0.003007599,227.9864943,10.95923977, 6.441269500994975e-08+0.0i,0.674285714,1.136285714
