wvlength,freq,decay,Q,amp,error,d
0.802265113,1.246470753,-0.007602197,81.98095577,0.005613642, 0.00032412031897304823+0.0i,0.588571429
0.687295171,1.454978941,-0.013827344,52.61237937,0.539414491, 3.161135410129233e-06+0.0i,0.602857143
0.687358935,1.454843968,-0.013970668,52.06780089,1.233170824, 3.932944554524038e-06+0.0i,0.602857143
0.729379645,1.371028115,-0.002646822,258.9951348,6.52785383, 3.929279147024152e-07+0.0i,0.602857143
0.729391934,1.371005016,-0.002655226,258.1711021,13.36754975, 6.13967910603105e-08+0.0i,0.602857143
0.729535326,1.370735541,-0.000683873,1002.186103,7.171376676, 3.8625690466783894e-08+0.0i,0.602857143
0.729537021,1.370732357,-0.000703237,974.58792,3.681715087, 2.714191313307007e-08+0.0i,0.602857143
0.687371761,1.454816821,-0.01403877,51.81425601,1.222601734, 9.60431243317597e-06+0.0i,0.617142857
0.68743362,1.454685908,-0.013514556,53.81922607,0.49152458, 2.8983486182070693e-06+0.0i,0.617142857
0.729721687,1.370385474,-0.002791978,245.4148218,12.1157166, 5.216067901895665e-08+0.0i,0.617142857
0.729771608,1.370291731,-0.000101417,6755.731445,3.167292482, 2.6359413653594604e-08+0.0i,0.617142857
0.729874303,1.370098928,-0.000558098,1227.472531,2.398837246, 2.3502161301303773e-08+0.0i,0.617142857
0.729876324,1.370095135,-0.00055709,1229.688205,5.687559293, 3.9602785476675734e-08+0.0i,0.617142857
0.806690724,1.239632452,-0.002662582,232.7876976,0.000338804, 0.00036527798102910816+0.0i,0.617142857
0.6871046,1.455382485,-0.013891976,52.38212573,1.188477454, 3.8896522636876836e-06+0.0i,0.631428571
0.687164807,1.455254969,-0.012870684,56.5337093,0.474114854, 2.278143382458487e-06+0.0i,0.631428571
0.729506259,1.370790157,-0.00283439,241.8139594,4.60266712, 3.0541758762532956e-07+0.0i,0.631428571
0.72952528,1.370754416,-0.002832154,241.9986019,11.58089114, 3.981185540160184e-08+0.0i,0.631428571
0.72968542,1.370453586,-0.000522113,1312.410205,2.107433724, 1.7677689640423656e-08+0.0i,0.631428571
0.729686746,1.370451096,-0.000520829,1315.642867,5.246921971, 2.3449607974500916e-08+0.0i,0.631428571
0.687072049,1.455451436,-0.014297144,50.90007479,1.218324532, 3.533644888459026e-06+0.0i,0.645714286
0.687315061,1.454936836,-0.012901392,56.38681598,0.438246081, 3.078539155872006e-06+0.0i,0.645714286
0.729620407,1.370575699,-0.002909536,235.5316894,3.769882572, 3.397216232554442e-07+0.0i,0.645714286
0.729647325,1.370525136,-0.00293732,233.2951741,10.9508469, 5.4530957421999567e-08+0.0i,0.645714286
0.729802728,1.3702333,-0.000424924,1612.327969,1.462226736, 2.6878188989400122e-08+0.0i,0.645714286
0.729804911,1.3702292,-0.000425384,1610.578752,4.213402878, 2.053543852221867e-08+0.0i,0.645714286
0.687138111,1.455311507,-0.013883931,52.40992197,1.12020551, 3.3996937466378016e-06+0.0i,0.66
0.687375488,1.454808933,-0.01223099,59.4722453,0.410033889, 3.1816608179755897e-06+0.0i,0.66
0.729677894,1.37046772,-0.002939391,233.1210552,3.491115172, 3.4324679539165456e-07+0.0i,0.66
0.729704351,1.37041803,-0.002970686,230.65681,10.57862321, 5.988486286481344e-08+0.0i,0.66
0.72988048,1.370087333,-0.000396672,1726.97842,1.299499651, 3.00407874510602e-08+0.0i,0.66
0.729882049,1.370084387,-0.000397842,1721.894917,3.934023933, 1.9801170511155122e-08+0.0i,0.66
