,freq,decay,Q,abs_amp,comp_amp,error,names,Seps,comp_amp_real,comp_amp_imag,error_real,error_imag
2,1.36406895655725,-0.0001113648918596,6124.322188881807,7.551458382954643,-6.008200486243379-4.574500041163054i,7.80755220810675e-09+0.0i,"[80,0.3,0.6,0.85,True,200,15,15,0.33,1.4]",0.3,-6.008200486243379,-4.574500041163054,7.80755220810675e-09,0.0
3,1.376902286919249,-6.747726715158086e-05,10202.712298841156,7.120506848892178,6.9730652866163165-1.4415194392400377i,1.65576835465263e-07+0.0i,"[80,0.3,0.6,0.85,True,200,15,15,0.33,1.4]",0.3,6.9730652866163165,-1.4415194392400377,1.65576835465263e-07,0.0
5,1.3640715441287015,-0.0001068165227194,6385.114912005928,7.528415543193653,-5.981874588555204-4.571019251523372i,1.5652536891367736e-08+0.0i,"[80,0.3,0.6,0.85,True,200,15,15,0.33,1.4]",0.3,-5.981874588555204,-4.571019251523372,1.5652536891367736e-08,0.0
6,1.376897843479692,-7.394193646456911e-05,9310.669352969018,7.150963848031374,-6.998555273055337+1.468505378213175i,1.7912491888682162e-08+0.0i,"[80,0.3,0.6,0.85,True,200,15,15,0.33,1.4]",0.3,-6.998555273055337,1.468505378213175,1.7912491888682162e-08,0.0
19,1.3640710033533294,-0.0001074064757251,6350.04078731758,7.533924125598243,-5.988674044758489-4.571191957893176i,8.908077478783515e-09+0.0i,"[80,0.3,0.6,0.85,True,500,15,15,0.33,1.4]",0.3,-5.988674044758489,-4.571191957893176,8.908077478783515e-09,0.0
20,1.376897951800511,-7.390448707832828e-05,9315.388051751135,7.145926255781864,6.994116115282493-1.4651286015290015i,2.438702936268555e-08+0.0i,"[80,0.3,0.6,0.85,True,500,15,15,0.33,1.4]",0.3,6.994116115282493,-1.4651286015290015,2.438702936268555e-08,0.0
21,1.3640713503084612,-0.0001062374609703,6419.916938196218,7.519932281301317,-5.974967449253719-4.566086452939337i,1.487403085069128e-08+0.0i,"[80,0.3,0.6,0.85,True,500,15,15,0.33,1.4]",0.3,-5.974967449253719,-4.566086452939337,1.487403085069128e-08,0.0
22,1.3768978133811112,-7.333779574977755e-05,9387.368404682982,7.139674131948539,-6.987688640988582+1.465317087532342i,4.0732575100437334e-08+0.0i,"[80,0.3,0.6,0.85,True,500,15,15,0.33,1.4]",0.3,-6.987688640988582,1.465317087532342,4.0732575100437334e-08,0.0
