,freq,decay,Q,abs_amp,comp_amp,error,names,Seps,comp_amp_real,comp_amp_imag,error_real,error_imag
2,1.36406895655725,-0.0001113648918596,6124.322188881807,7.551458382954643,-6.008200486243379-4.574500041163054i,7.80755220810675e-09+0.0i,"[80,0.3,0.6,0.85,True,200,15,15,0.33,1.4]",0.3,-6.008200486243379,-4.574500041163054,7.80755220810675e-09,0.0
3,1.376902286919249,-6.747726715158086e-05,10202.712298841156,7.120506848892178,6.9730652866163165-1.4415194392400377i,1.65576835465263e-07+0.0i,"[80,0.3,0.6,0.85,True,200,15,15,0.33,1.4]",0.3,6.9730652866163165,-1.4415194392400377,1.65576835465263e-07,0.0
4,1.2502961771268684,-0.0016311600503846,383.25367790609926,0.0257364974073996,0.012434137111360126-0.022533520210943164i,1.4490091922206597e-05+0.0i,"[80,0.3,0.6,0.85,True,200,15,15,0.33,1.4]",0.3,0.012434137111360126,-0.022533520210943164,1.4490091922206597e-05,0.0
5,1.3640715441287015,-0.0001068165227194,6385.114912005928,7.528415543193653,-5.981874588555204-4.571019251523372i,1.5652536891367736e-08+0.0i,"[80,0.3,0.6,0.85,True,200,15,15,0.33,1.4]",0.3,-5.981874588555204,-4.571019251523372,1.5652536891367736e-08,0.0
6,1.376897843479692,-7.394193646456911e-05,9310.669352969018,7.150963848031374,-6.998555273055337+1.468505378213175i,1.7912491888682162e-08+0.0i,"[80,0.3,0.6,0.85,True,200,15,15,0.33,1.4]",0.3,-6.998555273055337,1.468505378213175,1.7912491888682162e-08,0.0
7,1.427703565171712,-0.0120125478524564,59.425510004514,0.715524208930446,0.5288322941996549-0.48198682365503537i,8.2712879558549e-06+0.0i,"[80,0.3,0.6,0.85,True,200,15,15,0.33,1.4]",0.3,0.5288322941996549,-0.48198682365503537,8.2712879558549e-06,0.0
8,1.2093575966457537,-0.0016569551772272,364.9337089098356,0.0006998637813403387,-0.00011421662466800235-0.0006904809013154862i,0.0003235978039345478+0.0i,"[80,0.3,0.6,0.85,True,200,3,15,0.33,1.4]",0.3,-0.00011421662466800235,-0.0006904809013154862,0.0003235978039345478,0.0
9,1.3647390455064363,-0.0021483675411981,317.6223386677374,7.907368737131098,-6.586990381779896-4.374704339186525i,2.4231663962133118e-08+0.0i,"[80,0.3,0.6,0.85,True,200,3,15,0.33,1.4]",0.3,-6.586990381779896,-4.374704339186525,2.4231663962133118e-08,0.0
10,1.3767618233056513,-0.0012848688925263,535.7596527216958,7.776353288358331,7.68478964583529-1.1898229131363003i,1.3236582154605589e-08+0.0i,"[80,0.3,0.6,0.85,True,200,3,15,0.33,1.4]",0.3,7.68478964583529,-1.1898229131363003,1.3236582154605589e-08,0.0
11,1.3647381134488517,-0.0021497428166737,317.4189263161412,7.7808124001004435,-5.035611224528615-5.9315816778459896i,2.848373100565947e-08+0.0i,"[80,0.3,0.6,0.85,True,200,3,15,0.33,1.4]",0.3,-5.035611224528615,-5.9315816778459896,2.848373100565947e-08,0.0
12,1.3767610898849796,-0.0012863403625847,535.1465016298597,7.9347130246252435,-7.35242954057115+2.9835298949556686i,2.5016997016449086e-08+0.0i,"[80,0.3,0.6,0.85,True,200,3,15,0.33,1.4]",0.3,-7.35242954057115,2.9835298949556686,2.5016997016449086e-08,0.0
13,1.3647392007452408,-0.002153962667229,316.7973200066945,7.974263079084626,-6.644471783299981-4.409066383644342i,3.926125134078481e-08+0.0i,"[80,0.3,0.6,0.85,True,500,3,15,0.33,1.4]",0.3,-6.644471783299981,-4.409066383644342,3.926125134078481e-08,0.0
14,1.3767607284738437,-0.0012824177821773,536.7832338289659,7.745765015654186,7.652991100169697-1.1952417740590024i,1.7631561272720638e-08+0.0i,"[80,0.3,0.6,0.85,True,500,3,15,0.33,1.4]",0.3,7.652991100169697,-1.1952417740590024,1.7631561272720638e-08,0.0
15,1.3647400212486702,-0.0021488537604485,317.55069757837407,7.777634140894389,-5.025295888336102-5.936159875228958i,1.073021610686394e-09+0.0i,"[80,0.3,0.6,0.85,True,500,3,15,0.33,1.4]",0.3,-5.025295888336102,-5.936159875228958,1.073021610686394e-09,0.0
16,1.376761669344188,-0.0012848850608965,535.7528510696127,7.92661779683178,-7.346970965026457+2.9754474178026595i,5.559280929113244e-10+0.0i,"[80,0.3,0.6,0.85,True,500,3,15,0.33,1.4]",0.3,-7.346970965026457,2.9754474178026595,5.559280929113244e-10,0.0
17,1.4523503479267432,0.001882950671541,-385.6580976542796,0.0005305504731675,0.00046879358114385375+0.00024842782222732064i,6.930645875808254e-06+0.0i,"[80,0.3,0.6,0.85,True,500,3,15,0.33,1.4]",0.3,0.00046879358114385375,0.00024842782222732064,6.930645875808254e-06,0.0
18,1.2482236662003174,-0.0008082978528204,772.1310045824947,0.0033680849202115636,0.003284326421241168+0.000746455617229662i,0.0001007773079272328+0.0i,"[80,0.3,0.6,0.85,True,500,15,15,0.33,1.4]",0.3,0.003284326421241168,0.000746455617229662,0.0001007773079272328,0.0
19,1.3640710033533294,-0.0001074064757251,6350.04078731758,7.533924125598243,-5.988674044758489-4.571191957893176i,8.908077478783515e-09+0.0i,"[80,0.3,0.6,0.85,True,500,15,15,0.33,1.4]",0.3,-5.988674044758489,-4.571191957893176,8.908077478783515e-09,0.0
20,1.376897951800511,-7.390448707832828e-05,9315.388051751135,7.145926255781864,6.994116115282493-1.4651286015290015i,2.438702936268555e-08+0.0i,"[80,0.3,0.6,0.85,True,500,15,15,0.33,1.4]",0.3,6.994116115282493,-1.4651286015290015,2.438702936268555e-08,0.0
21,1.3640713503084612,-0.0001062374609703,6419.916938196218,7.519932281301317,-5.974967449253719-4.566086452939337i,1.487403085069128e-08+0.0i,"[80,0.3,0.6,0.85,True,500,15,15,0.33,1.4]",0.3,-5.974967449253719,-4.566086452939337,1.487403085069128e-08,0.0
22,1.3768978133811112,-7.333779574977755e-05,9387.368404682982,7.139674131948539,-6.987688640988582+1.465317087532342i,4.0732575100437334e-08+0.0i,"[80,0.3,0.6,0.85,True,500,15,15,0.33,1.4]",0.3,-6.987688640988582,1.465317087532342,4.0732575100437334e-08,0.0
