,freq,decay,Q,abs_amp,comp_amp,error,names,sourceAmps,comp_amp_real,comp_amp_imag,error_real,error_imag
0,1.3711810964178015,-0.002010645285968,340.98035739745563,42.6046988205802,18.40691938976502-38.42324400894646i,9.34537998455807e-09+0.0i,"[80,0.35,0.6,0.85,True,300,1,15,0.33,1.4,1.4,15]",15.0,18.40691938976502,-38.42324400894646,9.34537998455807e-09,0.0
1,1.371577318914674,-0.0107060878998769,64.05595263842557,32.10149920775653,-26.12244029423388+18.65809112583009i,4.693441451811717e-06+0.0i,"[80,0.35,0.6,0.85,True,300,1,15,0.33,1.4,1.4,15]",15.0,-26.12244029423388,18.65809112583009,4.693441451811717e-06,0.0
2,1.4679109374844357,-0.0124245689433138,59.07291207371736,18.230316418467684,-18.146876486975547-1.742214247418052i,8.037048490497993e-06+0.0i,"[80,0.35,0.6,0.85,True,300,1,15,0.33,1.4,1.4,15]",15.0,-18.146876486975547,-1.742214247418052,8.037048490497993e-06,0.0
3,1.3711809371776007,-0.002010060855952,341.0794586435939,19.0375369636006,15.522622060640709+11.02161594336191i,2.6638133965140326e-09+0.0i,"[80,0.35,0.6,0.85,True,300,1,15,0.33,1.4,1.4,15]",15.0,15.522622060640709,11.02161594336191,2.6638133965140326e-09,0.0
4,1.3714633795113695,-0.0106695808150317,64.26978731812918,75.61072121610158,-43.62132548598129-61.75889511370094i,6.076266547329016e-07+0.0i,"[80,0.35,0.6,0.85,True,300,1,15,0.33,1.4,1.4,15]",15.0,-43.62132548598129,-61.75889511370094,6.076266547329016e-07,0.0
5,1.3830561322824846,-0.0075141688776602,92.02988080254198,20.06047461761524,16.673106984283336-11.154826102392974i,7.0605828272867e-05+0.0i,"[80,0.35,0.6,0.85,True,300,1,15,0.33,1.4,1.4,15]",15.0,16.673106984283336,-11.154826102392974,7.0605828272867e-05,0.0
6,1.4576171202927983,-0.0144351333999963,50.48852268636357,6.239072417118811,2.1072296655313485+5.872444785841533i,0.00011641041118976119+0.0i,"[80,0.35,0.6,0.85,True,300,1,15,0.33,1.4,1.4,15]",15.0,2.1072296655313485,5.872444785841533,0.00011641041118976119,0.0
7,1.505122099895391,-0.0149744918949212,50.25619935745094,3.6989106334070287,1.4161210987153263+3.417095390489543i,0.000303496670320281+0.0i,"[80,0.35,0.6,0.85,True,300,1,15,0.33,1.4,1.4,15]",15.0,1.4161210987153263,3.417095390489543,0.000303496670320281,0.0
8,1.243205355317622,-0.00324330034481,191.65745122973095,1.1361534699616853,-1.1359055372046505+0.02373431806040646i,9.609510050737293e-06+0.0i,"[80,0.25,0.6,0.85,True,300,1,15,0.33,1.4,1.4,50]",50.0,-1.1359055372046505,0.02373431806040646,9.609510050737293e-06,0.0
9,1.3658946939993688,-0.0074702767757762,91.42196032338052,179.69769720752387,-139.6746394687081-113.05864615752898i,6.946521087190066e-08+0.0i,"[80,0.25,0.6,0.85,True,300,1,15,0.33,1.4,1.4,50]",50.0,-139.6746394687081,-113.05864615752898,6.946521087190066e-08,0.0
10,1.3758387079966832,-0.0054171468919779,126.98923764040102,150.71491123315442,108.16767831800664+104.95112117223833i,9.834518183075738e-09+0.0i,"[80,0.25,0.6,0.85,True,300,1,15,0.33,1.4,1.4,50]",50.0,108.16767831800664,104.95112117223833,9.834518183075738e-09,0.0
11,1.36594489649423,-0.0074323624213699,91.89170408097829,194.9809474123033,19.875218796986587-193.96532043530692i,9.848315998837702e-08+0.0i,"[80,0.25,0.6,0.85,True,300,1,15,0.33,1.4,1.4,50]",50.0,19.875218796986587,-193.96532043530692,9.848315998837702e-08,0.0
12,1.3759212652157913,-0.0054059248556231,127.26048751718976,146.6548418781966,-146.63323653272965+2.517258480055131i,1.3288771718344637e-07+0.0i,"[80,0.25,0.6,0.85,True,300,1,15,0.33,1.4,1.4,50]",50.0,-146.63323653272965,2.517258480055131,1.3288771718344637e-07,0.0
13,1.434750427357854,-0.0018914473765312,379.2731548231322,0.0678178212307233,0.06769910109571828-0.004011058128981034i,4.792514174865223e-05+0.0i,"[80,0.25,0.6,0.85,True,300,1,15,0.33,1.4,1.4,50]",50.0,0.06769910109571828,-0.004011058128981034,4.792514174865223e-05,0.0
14,1.2017930987619,-0.0092835427811128,64.7270727941769,0.029625965211854902,-0.004890240036880282-0.02921957164497334i,0.00020235693562924956+0.0i,"[80,0.25,0.6,0.85,True,300,1,15,0.33,1.4,1.4,5]",5.0,-0.004890240036880282,-0.02921957164497334,0.00020235693562924956,0.0
15,1.2446358689905088,-0.0052831501136369,117.79296842028243,0.1152899143913952,-0.10789327675440243+0.040630102037444785i,0.0001445321083392875+0.0i,"[80,0.25,0.6,0.85,True,300,1,15,0.33,1.4,1.4,5]",5.0,-0.10789327675440243,0.040630102037444785,0.0001445321083392875,0.0
16,1.3658852164381672,-0.0074729773141335,91.38828869819336,22.256336111670382,-18.398113683485377-12.524133103939421i,7.197911496411841e-07+0.0i,"[80,0.25,0.6,0.85,True,300,1,15,0.33,1.4,1.4,5]",5.0,-18.398113683485377,-12.524133103939421,7.197911496411841e-07,0.0
17,1.3758461586433754,-0.0054259423480248,126.78407458053788,18.906204465925576,16.89569733765688+8.484101530608791i,6.283117256146264e-07+0.0i,"[80,0.25,0.6,0.85,True,300,1,15,0.33,1.4,1.4,5]",5.0,16.89569733765688,8.484101530608791,6.283117256146264e-07,0.0
