,Resolution,Seps,Lam_ss,Lam_us,NULL,Animate,Times,Nwvg_ups,Nwvg_los,a,w_los,w_ups,Name
"[60,0.1,0.6,0.85,True,200,3,15,0.33,1.4,1.4]",60,0.1,0.6,0.85,True,True,200,3,15,0.33,1.4,1.4,"[60,0.1,0.6,0.85,True,200,3,15,0.33,1.4,1.4]"
"[60,0.1,0.6,0.85,True,200,15,15,0.33,1.4,1.4]",60,0.1,0.6,0.85,True,True,200,15,15,0.33,1.4,1.4,"[60,0.1,0.6,0.85,True,200,15,15,0.33,1.4,1.4]"
"[60,0.1,0.6,0.85,True,10,3,15,0.33,1.4,1.4]",60,0.1,0.6,0.85,True,True,10,3,15,0.33,1.4,1.4,"[60,0.1,0.6,0.85,True,10,3,15,0.33,1.4,1.4]"
"[60,0.1,0.6,0.85,True,10,15,15,0.33,1.4,1.4]",60,0.1,0.6,0.85,True,True,10,15,15,0.33,1.4,1.4,"[60,0.1,0.6,0.85,True,10,15,15,0.33,1.4,1.4]"
"[60,0.5,0.6,0.85,True,200,3,15,0.33,1.4,1.4]",60,0.5,0.6,0.85,True,True,200,3,15,0.33,1.4,1.4,"[60,0.5,0.6,0.85,True,200,3,15,0.33,1.4,1.4]"
"[60,0.5,0.6,0.85,True,200,15,15,0.33,1.4,1.4]",60,0.5,0.6,0.85,True,True,200,15,15,0.33,1.4,1.4,"[60,0.5,0.6,0.85,True,200,15,15,0.33,1.4,1.4]"
"[60,0.5,0.6,0.85,True,10,3,15,0.33,1.4,1.4]",60,0.5,0.6,0.85,True,True,10,3,15,0.33,1.4,1.4,"[60,0.5,0.6,0.85,True,10,3,15,0.33,1.4,1.4]"
"[60,0.5,0.6,0.85,True,10,15,15,0.33,1.4,1.4]",60,0.5,0.6,0.85,True,True,10,15,15,0.33,1.4,1.4,"[60,0.5,0.6,0.85,True,10,15,15,0.33,1.4,1.4]"
