,Resolution,Seps,Lam_ss,Lam_us,NULL,Animate,Times,Nwvg_ups,Nwvg_los,a,w_los,w_ups,Name
"[80,0.49,0.6,0.85,True,300,3,15,0.33,1.4,1.4]",80,0.49,0.6,0.85,True,True,300,3,15,0.33,1.4,1.4,"[80,0.49,0.6,0.85,True,300,3,15,0.33,1.4,1.4]"
"[80,0.4,0.6,0.85,True,300,3,15,0.33,1.4,1.4]",80,0.4,0.6,0.85,True,True,300,3,15,0.33,1.4,1.4,"[80,0.4,0.6,0.85,True,300,3,15,0.33,1.4,1.4]"
