,eigVal_lossDiff_applied,eigVec_lossDiff_applied,eigVal_lossless,eigVec_lossless,coupling_coeff.,loss_diff,Ecm,XC,Ecm-XC
12,[1.37258651+0.01242602j 1.37117697+0.00029504j],"[[ 0.99179564+0.j         -0.01427809+0.12703364j]
 [ 0.01427809-0.12703364j  0.99179564+0.j        ]]",[1.37362043+2.73859835e-05j 1.37014305+6.27140165e-05j],"[[ 0.83429552+0.j      -0.55113253-0.01428j]
 [ 0.55113253+0.01428j  0.83429552+0.j     ]]",0.0016,-0.012630951670234114,1.3725634751555151,(1.3712+9.01e-05j),(0.0013634751555151592-9.01e-05j)
13,[1.37258617+0.01238158j 1.37117681+0.00029576j],"[[ 0.99173764+0.j         -0.01437598+0.12747468j]
 [ 0.01437598-0.12747468j  0.99173764+0.j        ]]",[1.37362009+2.73914033e-05j 1.3701429 +6.27085967e-05j],"[[ 0.83425947+0.j         -0.55118704-0.01428221j]
 [ 0.55118704+0.01428221j  0.83425947+0.j        ]]",0.0016,-0.012587239626086957,1.3725629807987452,(1.3712+9.01e-05j),(0.0013629807987451947-9.01e-05j)
14,[1.37258579+0.01233714j 1.37117665+0.00029649j],"[[ 0.991679  +0.j        -0.01447444+0.1279189j]
 [ 0.01447444-0.1279189j  0.991679  +0.j       ]]",[1.37361971+2.73973393e-05j 1.37014273+6.27026607e-05j],"[[ 0.83421998+0.j         -0.55124674-0.01428463j]
 [ 0.55124674+0.01428463j  0.83421998+0.j        ]]",0.0016,-0.012543527581939799,1.3725624394424922,(1.3712+9.01e-05j),(0.0013624394424922581-9.01e-05j)
15,[1.37258537+0.01229269j 1.37117649+0.00029722j],"[[ 0.99161974+0.j         -0.01457348+0.12836631j]
 [ 0.01457348-0.12836631j  0.99161974+0.j        ]]",[1.3736193 +2.74037901e-05j 1.37014255+6.26962099e-05j],"[[ 0.83417707+0.j         -0.55131161-0.01428726j]
 [ 0.55131161+0.01428726j  0.83417707+0.j        ]]",0.0016,-0.012499815537792643,1.3725618512500852,(1.3712+9.01e-05j),(0.0013618512500852553-9.01e-05j)
16,[1.37258489+0.01224824j 1.37117632+0.00029796j],"[[ 0.99155983+0.j         -0.01467311+0.12881697j]
 [ 0.01467311-0.12881697j  0.99155983+0.j        ]]",[1.37361886+2.74107543e-05j 1.37014236+6.26892457e-05j],"[[ 0.83413074+0.j        -0.55138163-0.0142901j]
 [ 0.55138163+0.0142901j  0.83413074+0.j       ]]",0.0016,-0.012456103493645485,1.3725612163848622,(1.3712+9.01e-05j),(0.001361216384862196-9.01e-05j)
17,[1.37258437+0.01220378j 1.37117616+0.00029871j],"[[ 0.99149926+0.j         -0.01477333+0.12927091j]
 [ 0.01477333-0.12927091j  0.99149926+0.j        ]]",[1.37361838+2.74182302e-05j 1.37014215+6.26817698e-05j],"[[ 0.834081  +0.j         -0.55145679-0.01429314j]
 [ 0.55145679+0.01429314j  0.834081  +0.j        ]]",0.0016,-0.012412391449498327,1.3725605350101693,(1.3712+9.01e-05j),(0.001360535010169306-9.01e-05j)
18,[1.37258381+0.01215932j 1.371176  +0.00029946j],"[[ 0.99143803+0.j         -0.01487414+0.12972815j]
 [ 0.01487414-0.12972815j  0.99143803+0.j        ]]",[1.37361788+2.74262166e-05j 1.37014193+6.26737834e-05j],"[[ 0.83402786+0.j         -0.55153707-0.01429639j]
 [ 0.55153707+0.01429639j  0.83402786+0.j        ]]",0.0016,-0.012368679405351172,1.3725598072893626,(1.3712+9.01e-05j),(0.00135980728936258-9.01e-05j)
19,[1.3725832 +0.01211485j 1.37117583+0.00030021j],"[[ 0.99137613+0.j         -0.01497556+0.13018875j]
 [ 0.01497556-0.13018875j  0.99137613+0.j        ]]",[1.37361734+2.7434712e-05j 1.3701417 +6.2665288e-05j],"[[ 0.83397134+0.j         -0.55162245-0.01429985j]
 [ 0.55162245+0.01429985j  0.83397134+0.j        ]]",0.0016,-0.012324967361204014,1.3725590333858058,(1.3712+9.01e-05j),(0.0013590333858057857-9.01e-05j)
20,[1.37258255+0.01207038j 1.37117566+0.00030098j],"[[ 0.99131354+0.j         -0.0150776 +0.13065273j]
 [ 0.0150776 -0.13065273j  0.99131354+0.j        ]]",[1.37361677+2.7443715e-05j 1.37014145+6.2656285e-05j],"[[ 0.83391143+0.j         -0.55171292-0.01430352j]
 [ 0.55171292+0.01430352j  0.83391143+0.j        ]]",0.0016,-0.012281255317056856,1.3725582134628718,(1.3712+9.01e-05j),(0.0013582134628717935-9.01e-05j)
21,[1.37258185+0.0120259j  1.3711755 +0.00030174j],"[[ 0.99125026+0.j         -0.01518025+0.13112013j]
 [ 0.01518025-0.13112013j  0.99125026+0.j        ]]",[1.37361617+2.74532242e-05j 1.37014118+6.26467758e-05j],"[[ 0.83384814+0.j         -0.55180845-0.01430739j]
 [ 0.55180845+0.01430739j  0.83384814+0.j        ]]",0.0016,-0.012237543272909698,1.3725573476839419,(1.3712+9.01e-05j),(0.0013573476839419119-9.01e-05j)
22,[1.37258111+0.01198141j 1.37117533+0.00030252j],"[[ 0.99118627+0.j       -0.01528353+0.131591j]
 [ 0.01528353-0.131591j  0.99118627+0.j      ]]",[1.37361553+2.74632382e-05j 1.3701409 +6.26367618e-05j],"[[ 0.8337815 +0.j         -0.55190905-0.01431146j]
 [ 0.55190905+0.01431146j  0.8337815 +0.j        ]]",0.0016,-0.012193831228762542,1.3725564362124063,(1.3712+9.01e-05j),(0.0013564362124063312-9.01e-05j)
23,[1.37258032+0.01193692j 1.37117516+0.0003033j ],"[[ 0.99112157+0.j         -0.01538745+0.13206537j]
 [ 0.01538745-0.13206537j  0.99112157+0.j        ]]",[1.37361487+2.74737558e-05j 1.37014061+6.26262442e-05j],"[[ 0.83371149+0.j         -0.55201468-0.01431574j]
 [ 0.55201468+0.01431574j  0.83371149+0.j        ]]",0.0016,-0.012150119184615385,1.3725554792116625,(1.3712+9.01e-05j),(0.0013554792116625691-9.01e-05j)
24,[1.37257949+0.01189242j 1.37117499+0.00030408j],"[[ 0.99105614+0.j         -0.01549202+0.13254328j]
 [ 0.01549202-0.13254328j  0.99105614+0.j        ]]",[1.37361417+2.74847756e-05j 1.37014031+6.26152244e-05j],"[[ 0.83363814+0.j         -0.55212533-0.01432022j]
 [ 0.55212533+0.01432022j  0.83363814+0.j        ]]",0.0016,-0.012106407140468227,1.3725544768451168,(1.3712+9.01e-05j),(0.0013544768451168032-9.01e-05j)
25,[1.37257861+0.01184792j 1.37117482+0.00030487j],"[[ 0.99098998+0.j         -0.01559724+0.13302478j]
 [ 0.01559724-0.13302478j  0.99098998+0.j        ]]",[1.37361344+2.74962963e-05j 1.37013999+6.26037037e-05j],"[[ 0.83356144+0.j         -0.552241  -0.01432491j]
 [ 0.552241  +0.01432491j  0.83356144+0.j        ]]",0.0016,-0.012062695096321071,1.3725534292761834,(1.3712+9.01e-05j),(0.0013534292761834266-9.01e-05j)
26,[1.37257769+0.01180341j 1.37117464+0.00030567j],"[[ 0.99092306+0.j         -0.01570312+0.13350989j]
 [ 0.01570312-0.13350989j  0.99092306+0.j        ]]",[1.37361268+2.75083167e-05j 1.37013965+6.25916833e-05j],"[[ 0.83348141+0.j         -0.55236165-0.01432979j]
 [ 0.55236165+0.01432979j  0.83348141+0.j        ]]",0.0016,-0.012018983052173913,1.3725523366682848,(1.3712+9.01e-05j),(0.001352336668284826-9.01e-05j)
27,[1.37257673+0.01175889j 1.37117447+0.00030648j],"[[ 0.99085539+0.j         -0.01580967+0.13399868j]
 [ 0.01580967-0.13399868j  0.99085539+0.j        ]]",[1.37361189+2.75208355e-05j 1.37013931+6.25791645e-05j],"[[ 0.83339806+0.j         -0.55248727-0.01433488j]
 [ 0.55248727+0.01433488j  0.83339806+0.j        ]]",0.0016,-0.011975271008026755,1.3725511991848505,(1.3712+9.01e-05j),(0.0013511991848504934-9.01e-05j)
28,[1.37257572+0.01171437j 1.3711743 +0.00030729j],"[[ 0.99078695+0.j         -0.01591689+0.13449117j]
 [ 0.01591689-0.13449117j  0.99078695+0.j        ]]",[1.37361107+2.75338514e-05j 1.37013895+6.25661486e-05j],"[[ 0.83331139+0.j         -0.55261786-0.01434017j]
 [ 0.55261786+0.01434017j  0.83331139+0.j        ]]",0.0016,-0.0119315589638796,1.3725500169893188,(1.3712+9.01e-05j),(0.001350016989318803-9.01e-05j)
29,[1.37257467+0.01166984j 1.37117412+0.0003081j ],"[[ 0.99071772+0.j         -0.01602481+0.13498741j]
 [ 0.01602481-0.13498741j  0.99071772+0.j        ]]",[1.37361022+2.75473633e-05j 1.37013857+6.25526367e-05j],"[[ 0.8332214 +0.j         -0.55275338-0.01434566j]
 [ 0.55275338+0.01434566j  0.8332214 +0.j        ]]",0.0016,-0.011887846919732442,1.3725487902451348,(1.3712+9.01e-05j),(0.00134879024513479-9.01e-05j)
30,[1.37257358+0.01162531j 1.37117394+0.00030893j],"[[ 0.9906477 +0.j         -0.01613342+0.13548744j]
 [ 0.01613342-0.13548744j  0.9906477 +0.j        ]]",[1.37360934+2.75613699e-05j 1.37013818+6.25386301e-05j],"[[ 0.83312811+0.j         -0.55289384-0.01435134j]
 [ 0.55289384+0.01435134j  0.83312811+0.j        ]]",0.0016,-0.011844134875585284,1.3725475191157512,(1.3712+9.01e-05j),(0.0013475191157512612-9.01e-05j)
31,[1.37257244+0.01158077j 1.37117376+0.00030976j],"[[ 0.99057687+0.j         -0.01624273+0.13599131j]
 [ 0.01624273-0.13599131j  0.99057687+0.j        ]]",[1.37360842+2.75758701e-05j 1.37013778+6.25241299e-05j],"[[ 0.83303152+0.j         -0.5530392 -0.01435723j]
 [ 0.5530392 +0.01435723j  0.83303152+0.j        ]]",0.0016,-0.011800422831438128,1.3725462037646292,(1.3712+9.01e-05j),(0.001346203764629239-9.01e-05j)
32,[1.37257126+0.01153622j 1.37117358+0.00031059j],"[[ 0.99050522+0.j         -0.01635276+0.13649906j]
 [ 0.01635276-0.13649906j  0.99050522+0.j        ]]",[1.37360748+2.75908627e-05j 1.37013736+6.25091373e-05j],"[[ 0.83293164+0.j         -0.55318947-0.01436331j]
 [ 0.55318947+0.01436331j  0.83293164+0.j        ]]",0.0016,-0.01175671078729097,1.3725448443552357,(1.3712+9.01e-05j),(0.0013448443552357414-9.01e-05j)
33,[1.37257004+0.01149166j 1.3711734 +0.00031143j],"[[ 0.99043274+0.j         -0.01646351+0.13701074j]
 [ 0.01646351-0.13701074j  0.99043274+0.j        ]]",[1.37360651+2.76063466e-05j 1.37013693+6.24936534e-05j],"[[ 0.83282847+0.j         -0.55334461-0.01436959j]
 [ 0.55334461+0.01436959j  0.83282847+0.j        ]]",0.0016,-0.011712998743143813,1.3725434410510462,(1.3712+9.01e-05j),(0.0013434410510462236-9.01e-05j)
34,[1.37256877+0.0114471j  1.37117322+0.00031228j],"[[ 0.99035941+0.j        -0.016575  +0.1375264j]
 [ 0.016575  -0.1375264j  0.99035941+0.j       ]]",[1.3736055 +2.76223206e-05j 1.37013649+6.24776794e-05j],"[[ 0.83272202+0.j         -0.55350462-0.01437607j]
 [ 0.55350462+0.01437607j  0.83272202+0.j        ]]",0.0016,-0.011669286698996657,1.372541994015542,(1.3712+9.01e-05j),(0.0013419940155421362-9.01e-05j)
