,Nwvg,freq,decay,Q-factor,lambda
0,5,1.3715028931092312,-0.0023199797295525,295.5851026710815,0.72912715
1,6,1.3713195358617922,-0.0012458835615833,550.3401674708138,0.72922464
2,7,1.3712410538594872,-0.0006594251910005,1039.7244998927897,0.72926638
3,8,1.3712204801654206,-0.0003676632437178,1864.7777600768327,0.72927732
4,9,1.371222308190397,-0.0002145212671674,3196.005520329641,0.72927635
5,10,1.371229835621191,-0.0001439350538804,4763.363053867332,0.72927235
6,12,1.3712401348335168,-9.752030925094712e-05,7030.5362306887855,0.72926687
7,15,1.3712415059086276,-9.005399013606367e-05,7613.441135905261,0.72926614
