freq,decay,Q,wvlength,width
1.372561337,-0.012529044,54.77518109,0.72856489,1.4
1.372117974,-0.012532771,54.74120607,0.728800306,1.4025
1.371690758,-0.01253934,54.69549407,0.729027293,1.405
1.371257961,-0.012546022,54.64911302,0.729257389,1.4075
1.370819389,-0.012552818,54.60205816,0.729490703,1.41
1.36900335,-0.0125811,54.40714138,0.730458402,1.42
1.367078163,-0.012611006,54.2017907,0.73148707,1.43
1.363328589,-0.012675748,53.77704825,0.733498885,1.45
