,eigVal,eigVec,Coupling coeff.,Ecm,XC,Ecm-XC
24,[1.371-0.00323389j 1.371-0.00014611j],"[[ 9.91194227e-01+0.j         -2.50910404e-14-0.13241603j]
 [ 0.00000000e+00+0.13241603j  9.91194227e-01+0.j        ]]",0.00042,(1.371-9e-05j),(1.371-9e-05j),0j
25,[1.371-0.00323252j 1.371-0.00014748j],"[[ 9.90978413e-01+0.j         -9.40480333e-15-0.13402159j]
 [ 0.00000000e+00+0.13402159j  9.90978413e-01+0.j        ]]",0.000425,(1.371-9e-05j),(1.371-9e-05j),0j
26,[1.371-0.00323114j 1.371-0.00014886j],"[[ 9.90759801e-01+0.j         -3.80112608e-14-0.13562823j]
 [ 0.00000000e+00+0.13562823j  9.90759801e-01+0.j        ]]",0.00043,(1.371-9e-05j),(1.371-9e-05j),0j
27,[1.371-0.00322973j 1.371-0.00015027j],"[[9.90538383e-01+0.j         9.11770659e-15-0.13723597j]
 [0.00000000e+00+0.13723597j 9.90538383e-01+0.j        ]]",0.00043499999999999995,(1.371-9e-05j),(1.371-9e-05j),0j
28,[1.371-0.00322831j 1.371-0.00015169j],"[[9.90314149e-01+0.j         1.51469549e-14-0.13884483j]
 [0.00000000e+00+0.13884483j 9.90314149e-01+0.j        ]]",0.00043999999999999996,(1.371-9e-05j),(1.371-9e-05j),0j
29,[1.371-0.00322687j 1.371-0.00015313j],"[[ 9.90087089e-01+0.j         -1.30451205e-14-0.14045482j]
 [ 0.00000000e+00+0.14045482j  9.90087089e-01+0.j        ]]",0.000445,(1.371-9e-05j),(1.371-9e-05j),0j
30,[1.371-0.00322542j 1.371-0.00015458j],"[[9.89857195e-01+0.j         1.66811009e-14-0.14206595j]
 [0.00000000e+00+0.14206595j 9.89857195e-01+0.j        ]]",0.00045,(1.371-9e-05j),(1.371-9e-05j),0j
31,[1.371-0.00322394j 1.371-0.00015606j],"[[ 9.89624456e-01+0.j         -3.12805337e-14-0.14367824j]
 [ 0.00000000e+00+0.14367824j  9.89624456e-01+0.j        ]]",0.000455,(1.371-9e-05j),(1.371-9e-05j),0j
32,[1.371-0.00322245j 1.371-0.00015755j],"[[ 9.89388861e-01+0.j         -6.92241403e-15-0.14529171j]
 [ 0.00000000e+00+0.14529171j  9.89388861e-01+0.j        ]]",0.00046,(1.371-9e-05j),(1.371-9e-05j),0j
33,[1.371-0.00322094j 1.371-0.00015906j],"[[9.89150402e-01+0.j         8.20871149e-15-0.14690638j]
 [0.00000000e+00+0.14690638j 9.89150402e-01+0.j        ]]",0.000465,(1.371-9e-05j),(1.371-9e-05j),0j
