1.4, 0.34,  1.2853886859376638, 212.4147395451131
 1.4223946372159169, 7045.871566780698
1.45, 0.34,  1.276517289421973, 211.34558277465706
 1.4126998598826346, 7963.244529781784
1.4, 0.345, 
1.4, 0.35, 
1.45, 0.35, 
1.5, 0.34,  1.2685130033672745, 207.06042956015364
 1.40382816520623, 8315.600719290996
1.45, 0.345, 
1.5, 0.35, 
1.5, 0.345, 
