,Resolution,Seps,Lam_ss,Lam_us,NULL,Animate,Times,Nwvg_ups,Nwvg_los,a,w_los,w_ups,Name
"[80,0.46,0.6,0.85,True,300,3,15,0.33,1.4,1.4]",80,0.46,0.6,0.85,True,True,300,3,15,0.33,1.4,1.4,"[80,0.46,0.6,0.85,True,300,3,15,0.33,1.4,1.4]"
"[80,0.43,0.6,0.85,True,300,3,15,0.33,1.4,1.4]",80,0.43,0.6,0.85,True,True,300,3,15,0.33,1.4,1.4,"[80,0.43,0.6,0.85,True,300,3,15,0.33,1.4,1.4]"
"[80,0.63,0.6,0.85,True,300,3,15,0.33,1.4,1.4]",80,0.63,0.6,0.85,True,True,300,3,15,0.33,1.4,1.4,"[80,0.63,0.6,0.85,True,300,3,15,0.33,1.4,1.4]"
