,freq,decay,Q,abs_amp,comp_amp,error,names,Nwvg_ups,comp_amp_real,comp_amp_imag,error_real,error_imag
5,1.3696356911123457,-3.620625744241967e-06,189143.50555156588,2.4580512024145458,-2.379887174348995-0.6149412582196382i,1.981443274050771e-06+0.0i,"[50,0.65,0.6,0.85,True,25,15,15,0.33,1.4]",15.0,-2.379887174348995,-0.6149412582196382,1.981443274050771e-06,0.0
12,1.3696544145906895,-0.0004338715323381,1578.4100966587034,0.7903986496838711,0.48996098808092176-0.6202162974163559i,9.228994699510023e-08+0.0i,"[50,0.65,0.6,0.85,True,500,3,15,0.33,1.4]",3.0,0.48996098808092176,-0.6202162974163559,9.228994699510023e-08,0.0
14,1.3696540565481037,-0.000428603865501,1597.8088006121936,0.2766063483927368,0.20745586388081136+0.18295665200432135i,2.246618249633864e-08+0.0i,"[50,0.65,0.6,0.85,True,500,3,15,0.33,1.4]",3.0,0.20745586388081136,0.18295665200432135,2.246618249633864e-08,0.0
18,1.3686001079095043,-9.235416604125128e-05,7409.520147137705,1.145789682440346,-1.1235761121069918-0.22452330990185712i,1.8558299950658595e-07+0.0i,"[50,0.65,0.6,0.85,True,500,15,15,0.33,1.4]",15.0,-1.1235761121069918,-0.22452330990185712,1.8558299950658595e-07,0.0
19,1.3706276067978573,-7.007033547579543e-05,9780.36994893022,1.3339526492468754,1.2687481086017327+0.4119561959144239i,1.1573693894688189e-07+0.0i,"[50,0.65,0.6,0.85,True,500,15,15,0.33,1.4]",15.0,1.2687481086017327,0.4119561959144239,1.1573693894688189e-07,0.0
24,1.3685960690985182,-9.122961195699145e-05,7500.832458564651,1.1429789602709173,-1.1222342706856163-0.21677441112988893i,3.5154230303197765e-08+0.0i,"[50,0.65,0.6,0.85,True,500,15,15,0.33,1.4]",15.0,-1.1222342706856163,-0.21677441112988893,3.5154230303197765e-08,0.0
25,1.370627194635316,-7.152013860211606e-05,9582.106672502752,1.3363318469916268,-1.2710948292878592-0.4124327099560853i,1.1749629455247997e-08+0.0i,"[50,0.65,0.6,0.85,True,500,15,15,0.33,1.4]",15.0,-1.2710948292878592,-0.4124327099560853,1.1749629455247997e-08,0.0
