,freq,decay,Q,abs_amp,comp_amp,error,names,Nwvg_ups,comp_amp_real,comp_amp_imag,error_real,error_imag
0,1.189069815085541,-0.0079169825817212,75.09614949961295,0.0984099336380588,-0.05191292472527641-0.08360360808670235i,8.674843926736718e-06+0.0i,"[60,0.2,0.613,0.899,True,200,15,15,0.33,1.4]",15.0,-0.05191292472527641,-0.08360360808670235,8.674843926736718e-06,0.0
1,1.22463421837624,-0.0054112533327531,113.15624524209588,0.3350452061013399,0.21716418869985032-0.25513722832590535i,3.6931121828683034e-06+0.0i,"[60,0.2,0.613,0.899,True,200,15,15,0.33,1.4]",15.0,0.21716418869985032,-0.25513722832590535,3.6931121828683034e-06,0.0
2,1.3571557921944746,-0.0001039220556863,6529.681227102952,11.60490790779888,-10.092002440447132+5.729343268691628i,5.029656113930026e-09+0.0i,"[60,0.2,0.613,0.899,True,200,15,15,0.33,1.4]",15.0,-10.092002440447132,5.729343268691628,5.029656113930026e-09,0.0
3,1.3805664336389774,-9.206610121657232e-05,7497.691416254243,23.78183265426831,-13.528311944254567-19.559149785575084i,1.1319786175921894e-09+0.0i,"[60,0.2,0.613,0.899,True,200,15,15,0.33,1.4]",15.0,-13.528311944254567,-19.559149785575084,1.1319786175921894e-09,0.0
4,1.4812975984670322,-0.0136495282446621,54.2618606268064,0.2797295203440164,0.026191200852412746-0.2785006742358123i,1.1393800177703835e-05+0.0i,"[60,0.2,0.613,0.899,True,200,15,15,0.33,1.4]",15.0,0.026191200852412746,-0.2785006742358123,1.1393800177703835e-05,0.0
5,1.259735230025877,-0.003882495238321,162.2326819093065,1.618612499895888,-0.6188816655276151-1.4956242539130546i,1.0643195871695067e-05+0.0i,"[60,0.2,0.613,0.899,True,200,15,15,0.33,1.4]",15.0,-0.6188816655276151,-1.4956242539130546,1.0643195871695067e-05,0.0
6,1.3571558102213892,-0.0001010922986743,6712.458950969648,11.592983568539378,-10.082163783583571-5.722520551419612i,2.127531402057067e-09+0.0i,"[60,0.2,0.613,0.899,True,200,15,15,0.33,1.4]",15.0,-10.082163783583571,-5.722520551419612,2.127531402057067e-09,0.0
7,1.3805660263416848,-9.262825859712429e-05,7452.186013483717,23.75659960884953,13.521678804365555+19.533054735160114i,1.3868424414058415e-09+0.0i,"[60,0.2,0.613,0.899,True,200,15,15,0.33,1.4]",15.0,13.521678804365555,19.533054735160114,1.3868424414058415e-09,0.0
8,1.2103685650677674,-0.0086357912575852,70.07861404736035,0.20476259102854158,0.15431532910117135+0.13459011066612198i,8.015570731223133e-06+0.0i,"[60,0.2,0.613,0.899,True,200,3,15,0.33,1.4]",3.0,0.15431532910117135,0.13459011066612198,8.015570731223133e-06,0.0
9,1.3579196571183756,-0.0025872756020475,262.4226920479084,10.519992955405884,-9.086142917748738+5.302099457765186i,1.4234632420791717e-08+0.0i,"[60,0.2,0.613,0.899,True,200,3,15,0.33,1.4]",3.0,-9.086142917748738,5.302099457765186,1.4234632420791717e-08,0.0
10,1.3804669754722765,-0.0011686256779292,590.6369342826525,22.595568536079917,-12.356397487768115-18.917694325497553i,2.8026195484423633e-09+0.0i,"[60,0.2,0.613,0.899,True,200,3,15,0.33,1.4]",3.0,-12.356397487768115,-18.917694325497553,2.8026195484423633e-09,0.0
11,1.3579237861831206,-0.0025829368005669,262.8643073816279,10.32787617056086,-9.693516143967964+3.5638141030462505i,9.253952166103627e-09+0.0i,"[60,0.2,0.613,0.899,True,200,3,15,0.33,1.4]",3.0,-9.693516143967964,3.5638141030462505,9.253952166103627e-09,0.0
12,1.3804674164422857,-0.001168234286352,590.8350031195296,23.02855780161464,14.90612163952601+17.5534045726167i,2.139809355462344e-09+0.0i,"[60,0.2,0.613,0.899,True,200,3,15,0.33,1.4]",3.0,14.90612163952601,17.5534045726167,2.139809355462344e-09,0.0
13,1.225873713200139,-0.0082551300791777,74.24920633850503,0.41516994324156464,0.37398168159611545+0.18028805729095235i,3.572220427888149e-06+0.0i,"[60,0.2,0.613,0.899,True,100,15,15,0.33,1.4]",15.0,0.37398168159611545,0.18028805729095235,3.572220427888149e-06,0.0
14,1.2570388674641233,-0.0017408821568607,361.0350254065625,0.4129311759369017,0.27693227842547097-0.3063015984723389i,1.9880069259517562e-07+0.0i,"[60,0.2,0.613,0.899,True,100,15,15,0.33,1.4]",15.0,0.27693227842547097,-0.3063015984723389,1.9880069259517562e-07,0.0
15,1.35715545432343,-0.0001069888049396,6342.511513653128,11.614164361407068,-10.100819096421729-5.732562027151578i,3.0909189928145517e-09+0.0i,"[60,0.2,0.613,0.899,True,100,15,15,0.33,1.4]",15.0,-10.100819096421729,-5.732562027151578,3.0909189928145517e-09,0.0
16,1.3805665695022975,-9.22799049060709e-05,7480.320720462039,23.78845163274232,-13.531767886718768-19.564807408796216i,9.251818881569013e-10+0.0i,"[60,0.2,0.613,0.899,True,100,15,15,0.33,1.4]",15.0,-13.531767886718768,-19.564807408796216,9.251818881569013e-10,0.0
17,1.4788843194932932,-0.0131401693114636,56.27341187312924,0.26459352447404,0.09019009565953882-0.24874782378649601i,4.104729652493749e-06+0.0i,"[60,0.2,0.613,0.899,True,100,15,15,0.33,1.4]",15.0,0.09019009565953882,-0.24874782378649601,4.104729652493749e-06,0.0
18,1.2314760891218803,-0.0034927678508233,176.2894274281038,0.3737512341104875,0.10352676844430589-0.35912698758877964i,7.977063528682528e-06+0.0i,"[60,0.2,0.613,0.899,True,100,15,15,0.33,1.4]",15.0,0.10352676844430589,-0.35912698758877964,7.977063528682528e-06,0.0
