,freq,decay,Q,abs_amp,comp_amp,error,names,a,comp_amp_real,comp_amp_imag,error_real,error_imag
0,1.3720513913546972,-0.000303568542672,2259.870833910469,0.2455735864870751,0.16943437760846142+0.17775932623791718i,2.397320015485033e-06+0.0i,"[50,0.65,0.6,0.85,True,50,2,15,0.33,1.4]",0.33,0.16943437760846142,0.17775932623791718,2.397320015485033e-06,0.0
1,1.4858179583892486,-0.0079342810659974,93.63280340273982,0.0349229634310883,0.034862295613025424-0.0020576003983184383i,2.1820927786320984e-05+0.0i,"[50,0.65,0.6,0.85,True,50,2,15,0.33,1.4]",0.33,0.034862295613025424,-0.0020576003983184383,2.1820927786320984e-05,0.0
2,1.5605329308698879,-0.0135710739734187,57.49482074618631,0.0146577260439444,-0.003522953022981969-0.014228061525632755i,9.162795614689015e-05+0.0i,"[50,0.65,0.6,0.85,True,50,2,15,0.33,1.4]",0.33,-0.003522953022981969,-0.014228061525632755,9.162795614689015e-05,0.0
3,1.338392232068962,0.0040640128439953,-164.6638782215539,0.0024511113956708,0.0010447527873862906+0.002217304374062396i,0.0003741110143163373+0.0i,"[50,0.65,0.6,0.85,True,50,2,15,0.33,1.4]",0.33,0.0010447527873862906,0.002217304374062396,0.0003741110143163373,0.0
4,1.3706222274466429,-0.0059378661818636,115.41370127479604,1.6378230121535342,-1.4964201445379368-0.6657258971684488i,5.86617800461669e-07+0.0i,"[50,0.65,0.6,0.85,True,50,2,15,0.33,1.4]",0.33,-1.4964201445379368,-0.6657258971684488,5.86617800461669e-07,0.0
5,1.4532351909661576,-0.013569553861658,53.54764076188234,0.4456987189919915,-0.4371066045276503-0.0870928492438415i,5.842438268726629e-06+0.0i,"[50,0.65,0.6,0.85,True,50,2,15,0.33,1.4]",0.33,-0.4371066045276503,-0.0870928492438415,5.842438268726629e-06,0.0
6,1.3731060232807704,0.002018720947529,-340.0930735279309,0.20335444568692648,0.1792238020950565+0.09608256524067804i,9.06710835754256e-06+0.0i,"[50,0.65,0.6,0.85,True,50,3,15,0.33,1.4]",0.33,0.1792238020950565,0.09608256524067804,9.06710835754256e-06,0.0
7,1.3701302465872691,-0.0032265741337367,212.3196600786744,2.2572780884716863,-2.0937837581546717-0.8434298683246216i,1.5219054887080772e-07+0.0i,"[50,0.65,0.6,0.85,True,50,3,15,0.33,1.4]",0.33,-2.0937837581546717,-0.8434298683246216,1.5219054887080772e-07,0.0
8,1.4524464236899315,-0.0098295596281558,73.88156126188714,0.2185950018889465,-0.21850349002185704+0.006324531531801977i,1.8995360978537253e-05+0.0i,"[50,0.65,0.6,0.85,True,50,3,15,0.33,1.4]",0.33,-0.21850349002185704,0.006324531531801977,1.8995360978537253e-05,0.0
9,1.2113322207946835,-0.0048189434945547,125.68441839621462,0.003015815623677914,-0.002837989541631623-0.001020274099254378i,0.00012931902450518494+0.0i,"[50,0.65,0.6,0.85,True,50,4,15,0.33,1.4]",0.33,-0.002837989541631623,-0.001020274099254378,0.00012931902450518494,0.0
10,1.2434720632216802,-0.0014523538207242,428.0885433969558,0.003909891058599,-0.0013512402292328307+0.0036689777776672304i,5.396687769645279e-05+0.0i,"[50,0.65,0.6,0.85,True,50,4,15,0.33,1.4]",0.33,-0.0013512402292328307,0.0036689777776672304,5.396687769645279e-05,0.0
11,1.3626110108493348,-0.0040282426235366,169.13219214847044,0.1902142367019564,-0.07393882034577419+0.17525554681659367i,0.00019163647701757235+0.0i,"[50,0.65,0.6,0.85,True,50,4,15,0.33,1.4]",0.33,-0.07393882034577419,0.17525554681659367,0.00019163647701757235,0.0
12,1.3718603533790623,0.0014543407045621,-471.6433876448701,0.323625304064026,0.32358963284813536+0.00480488748487009i,2.5147462557682835e-05+0.0i,"[50,0.65,0.6,0.85,True,50,4,15,0.33,1.4]",0.33,0.32358963284813536,0.00480488748487009,2.5147462557682835e-05,0.0
13,1.3697951772776387,-0.001753092139637,390.67974418081945,2.523383425080143,-2.4164491699584763+0.7267993663840003i,1.5106478791576965e-07+0.0i,"[50,0.65,0.6,0.85,True,50,4,15,0.33,1.4]",0.33,-2.4164491699584763,0.7267993663840003,1.5106478791576965e-07,0.0
14,1.3828253588486368,-0.0114973766971123,60.13655963781471,0.0946294701099811,0.0655903755395128+0.06821025765881183i,0.00042080135299344697+0.0i,"[50,0.65,0.6,0.85,True,50,4,15,0.33,1.4]",0.33,0.0655903755395128,0.06821025765881183,0.00042080135299344697,0.0
15,1.4605760865587676,-0.013448191735917,54.303809584224666,0.2972733327718851,-0.17035956052222925-0.24361661379301872i,3.47454688617136e-05+0.0i,"[50,0.65,0.6,0.85,True,50,4,15,0.33,1.4]",0.33,-0.17035956052222925,-0.24361661379301872,3.47454688617136e-05,0.0
16,1.2436347340395246,-0.0025929309865884,239.8125404170094,0.008850777382225831,-0.002371423147405182+0.008527169080396567i,1.358657956494538e-06+0.0i,"[50,0.65,0.6,0.85,True,500,2,15,0.33,1.4]",0.33,-0.002371423147405182,0.008527169080396567,1.358657956494538e-06,0.0
17,1.36589600211605,-0.0074531143881085,91.63256666872924,0.1826483489843847,-0.015240534894955422+0.18201138833281072i,6.162560691251345e-06+0.0i,"[50,0.65,0.6,0.85,True,500,2,15,0.33,1.4]",0.33,-0.015240534894955422,0.18201138833281072,6.162560691251345e-06,0.0
