,Resolution,Seps,Lam_ss,Lam_us,NULL,Animate,Times,Nwvg_ups,Nwvg_los,a,widths,Name
"[60,0.2,0.613,0.899,True,200,3,15,0.33,1.4]",60,0.2,0.613,0.899,True,True,200,3,15,0.33,1.4,"[60,0.2,0.613,0.899,True,200,3,15,0.33,1.4]"
"[60,0.2,0.613,0.899,True,200,15,15,0.33,1.4]",60,0.2,0.613,0.899,True,True,200,15,15,0.33,1.4,"[60,0.2,0.613,0.899,True,200,15,15,0.33,1.4]"
"[60,0.2,0.613,0.899,True,100,5,15,0.33,1.4]",60,0.2,0.613,0.899,True,True,100,5,15,0.33,1.4,"[60,0.2,0.613,0.899,True,100,5,15,0.33,1.4]"
"[60,0.2,0.613,0.899,True,100,15,15,0.33,1.4]",60,0.2,0.613,0.899,True,True,100,15,15,0.33,1.4,"[60,0.2,0.613,0.899,True,100,15,15,0.33,1.4]"
"[60,0.2,0.613,0.899,True,50,5,15,0.33,1.4]",60,0.2,0.613,0.899,True,True,50,5,15,0.33,1.4,"[60,0.2,0.613,0.899,True,50,5,15,0.33,1.4]"
"[60,0.2,0.613,0.899,True,50,15,15,0.33,1.4]",60,0.2,0.613,0.899,True,True,50,15,15,0.33,1.4,"[60,0.2,0.613,0.899,True,50,15,15,0.33,1.4]"
